"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CONE","CyrusOne Inc","50.62","$4.45B","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/cone",
"CYTK","Cytokinetics, Incorporated","12.6","$525.79M","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cytk",
"CTMX","CytomX Therapeutics, Inc.","17.79","$650.55M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctmx",
"CYTX","Cytori Therapeutics Inc","1.65","$35.49M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytx",
"CYTXW","Cytori Therapeutics Inc","0.68","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytxw",
"CTSO","Cytosorbents Corporation","5.425","$138.47M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ctso",
"CYTR","CytRx Corporation","0.4052","$47.54M","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cytr",
"DJCO","Daily Journal Corp. (S.C.)","202.799","$280.01M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/djco",
"DAKT","Daktronics, Inc.","9.19","$404.98M","1994","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/dakt",
"DRIO","DarioHealth Corp.","4.06","$32.38M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.8599","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/driow",
"DZSI","DASAN Zhone Solutions, Inc.","6.16","$20.18M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/dzsi",
"DSKE","Daseke, Inc.","10.25","$386.59M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/dske",
"DSKEW","Daseke, Inc.","1.19","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/dskew",
"DAIO","Data I/O Corporation","4.91","$39.36M","1981","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/daio",
"DRAM","Dataram Corporation","1.16","$5.59M","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/dram",
"DWCH","Datawatch Corporation","8.3","$99.55M","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dwch",
"PLAY","Dave & Buster&#39;s Entertainment, Inc.","60.94","$2.56B","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/play",
"DTEA","DAVIDsTEA Inc.","7.6","$190.15M","2015","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/dtea",
"DFNL","Davis Select Financial ETF","20.59","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dfnl",
"DUSA","Davis Select U.S. Equity ETF","20.06","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dusa",
"DWLD","Davis Select Worldwide ETF","20.7968","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dwld",
"DWSN","Dawson Geophysical Company","5.47","$118.5M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dwsn",
"DBVT","DBV Technologies S.A.","35.24","$1.74B","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dbvt",
"DFRG","Del Frisco&#39;s Restaurant Group, Inc.","17.6","$411.95M","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/dfrg",
"TACO","Del Taco Restaurants, Inc.","12.64","$489.56M","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/taco",
"TACOW","Del Taco Restaurants, Inc.","3.895","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/tacow",
"DCTH","Delcath Systems, Inc.","0.09","$6.35M","2000","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dcth",
"DMPI","DelMar Pharmaceuticals, Inc.","4","$42.41M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dmpi",
